Datetime,cons_regions,temperature,precipitation,day_of_week,is_weekend,year,weekofyear,quarter,dayofyear,month,day,Heure,Date,is_ramadan,is_korite,is_tabaski,is_magal,is_gamou,jour_groupe,day_of_week_name,month_name,Saison de demande
2024-01-01 00:00:00,271.1331126483319,22.8625,0.0,0,0,2024,1,1,1,1,1,0,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 01:00:00,260.4835958194415,22.6375,0.0,0,0,2024,1,1,1,1,1,1,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 02:00:00,249.8166181922147,21.9,0.0,0,0,2024,1,1,1,1,1,2,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 03:00:00,246.12920281548008,20.55,0.0,0,0,2024,1,1,1,1,1,3,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 04:00:00,234.6929436506853,20.3125,0.0,0,0,2024,1,1,1,1,1,4,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 05:00:00,233.7061221095742,19.4125,0.0,0,0,2024,1,1,1,1,1,5,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 06:00:00,225.01260768967137,18.4125,0.0,0,0,2024,1,1,1,1,1,6,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 07:00:00,237.01648565752828,18.0125,0.0,0,0,2024,1,1,1,1,1,7,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 08:00:00,228.4648664621729,17.75,0.0,0,0,2024,1,1,1,1,1,8,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 09:00:00,230.1813083104581,20.3,0.0,0,0,2024,1,1,1,1,1,9,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 10:00:00,226.5782895518068,25.0,0.0,0,0,2024,1,1,1,1,1,10,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 11:00:00,252.79398400457487,28.625,0.0,0,0,2024,1,1,1,1,1,11,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 12:00:00,253.2439221537657,31.65,0.0,0,0,2024,1,1,1,1,1,12,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 13:00:00,256.9271640780423,33.15,0.0,0,0,2024,1,1,1,1,1,13,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 14:00:00,259.247885186153,34.775,0.0,0,0,2024,1,1,1,1,1,14,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 15:00:00,277.15256731152334,36.1625,0.0,0,0,2024,1,1,1,1,1,15,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 16:00:00,279.2299440088224,36.0,0.0,0,0,2024,1,1,1,1,1,16,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 17:00:00,271.4460303624262,35.375,0.0,0,0,2024,1,1,1,1,1,17,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 18:00:00,277.4217831631885,33.4125,0.0,0,0,2024,1,1,1,1,1,18,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 19:00:00,333.51501335333995,30.375,0.0,0,0,2024,1,1,1,1,1,19,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 20:00:00,325.7711644569046,26.975,0.0,0,0,2024,1,1,1,1,1,20,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 21:00:00,326.20410570464446,26.7125,0.0,0,0,2024,1,1,1,1,1,21,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 22:00:00,324.71448629256247,26.2125,0.0,0,0,2024,1,1,1,1,1,22,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-01 23:00:00,311.2972068174299,25.125,0.0,0,0,2024,1,1,1,1,1,23,2024-01-01,0,0,0,0,0,1,Lundi,Janvier,Bas
2024-01-02 00:00:00,296.21244111848614,24.2625,0.0,1,0,2024,1,1,2,1,2,0,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 01:00:00,291.1018552797061,23.4625,0.0,1,0,2024,1,1,2,1,2,1,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 02:00:00,277.9070722268595,22.9,0.0,1,0,2024,1,1,2,1,2,2,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 03:00:00,264.0317384990732,22.125,0.0,1,0,2024,1,1,2,1,2,3,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 04:00:00,238.31695225102345,22.025,0.0,1,0,2024,1,1,2,1,2,4,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 05:00:00,235.71243828153143,21.625,0.0,1,0,2024,1,1,2,1,2,5,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 06:00:00,242.2382006305197,21.175,0.0,1,0,2024,1,1,2,1,2,6,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 07:00:00,280.9382123856631,20.375,0.0,1,0,2024,1,1,2,1,2,7,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 08:00:00,306.11042481135496,20.0,0.0,1,0,2024,1,1,2,1,2,8,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 09:00:00,303.7866846624436,21.5875,0.0,1,0,2024,1,1,2,1,2,9,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 10:00:00,310.3094938297054,25.625,0.0,1,0,2024,1,1,2,1,2,10,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 11:00:00,310.3415492576466,28.725,0.0,1,0,2024,1,1,2,1,2,11,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 12:00:00,330.0310006983506,31.325,0.0,1,0,2024,1,1,2,1,2,12,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 13:00:00,322.11257452551314,32.675,0.0,1,0,2024,1,1,2,1,2,13,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 14:00:00,332.86510249253496,34.425,0.0,1,0,2024,1,1,2,1,2,14,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 15:00:00,300.796295749857,35.6875,0.0,1,0,2024,1,1,2,1,2,15,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 16:00:00,310.48932318882567,35.125,0.0,1,0,2024,1,1,2,1,2,16,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 17:00:00,325.7747134294926,34.25,0.0,1,0,2024,1,1,2,1,2,17,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 18:00:00,312.887365664432,32.375,0.0,1,0,2024,1,1,2,1,2,18,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 19:00:00,348.88793429207664,29.75,0.0,1,0,2024,1,1,2,1,2,19,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 20:00:00,349.59183867258093,27.125,0.0,1,0,2024,1,1,2,1,2,20,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 21:00:00,352.44630497142,26.15,0.0,1,0,2024,1,1,2,1,2,21,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 22:00:00,357.36392951354435,24.375,0.0,1,0,2024,1,1,2,1,2,22,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-02 23:00:00,354.5073084723801,23.75,0.0,1,0,2024,1,1,2,1,2,23,2024-01-02,0,0,0,0,0,2,Mardi,Janvier,Bas
2024-01-03 00:00:00,333.4428428162623,22.8375,0.0,2,0,2024,1,1,3,1,3,0,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 01:00:00,312.88568803470554,23.2125,0.0,2,0,2024,1,1,3,1,3,1,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 02:00:00,300.4213622806985,22.1375,0.0,2,0,2024,1,1,3,1,3,2,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 03:00:00,282.7787097288049,21.2,0.0,2,0,2024,1,1,3,1,3,3,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 04:00:00,280.7843748598546,20.4,0.0,2,0,2024,1,1,3,1,3,4,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 05:00:00,277.6301729398627,19.85,0.0,2,0,2024,1,1,3,1,3,5,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 06:00:00,279.3422654541593,18.8125,0.0,2,0,2024,1,1,3,1,3,6,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 07:00:00,298.60113773573784,17.825,0.0,2,0,2024,1,1,3,1,3,7,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 08:00:00,286.3575349860644,17.75,0.0,2,0,2024,1,1,3,1,3,8,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 09:00:00,292.68055422729,20.725,0.0,2,0,2024,1,1,3,1,3,9,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 10:00:00,306.29886351456344,24.625,0.0,2,0,2024,1,1,3,1,3,10,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 11:00:00,319.5773866429754,28.6625,0.0,2,0,2024,1,1,3,1,3,11,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 12:00:00,329.0600214409079,31.825000000000003,0.0,2,0,2024,1,1,3,1,3,12,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 13:00:00,332.05163323130336,33.65,0.0,2,0,2024,1,1,3,1,3,13,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 14:00:00,320.55447745060707,34.95,0.0,2,0,2024,1,1,3,1,3,14,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 15:00:00,341.6358668393514,35.612500000000004,0.0,2,0,2024,1,1,3,1,3,15,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 16:00:00,325.05632344378523,35.625,0.0,2,0,2024,1,1,3,1,3,16,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 17:00:00,348.8321339091143,35.475,0.0,2,0,2024,1,1,3,1,3,17,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 18:00:00,348.3128803165092,33.025,0.0,2,0,2024,1,1,3,1,3,18,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 19:00:00,382.6300079152907,29.0125,0.0,2,0,2024,1,1,3,1,3,19,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 20:00:00,388.3495336804051,26.8875,0.0,2,0,2024,1,1,3,1,3,20,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 21:00:00,376.51561934803874,25.6875,0.0,2,0,2024,1,1,3,1,3,21,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 22:00:00,417.3359063976209,25.0,0.0,2,0,2024,1,1,3,1,3,22,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-03 23:00:00,409.8046530663003,24.125,0.0,2,0,2024,1,1,3,1,3,23,2024-01-03,0,0,0,0,0,2,Mercredi,Janvier,Bas
2024-01-04 00:00:00,373.7766540567172,22.7875,0.0,3,0,2024,1,1,4,1,4,0,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 01:00:00,352.0171684370989,22.575,0.0,3,0,2024,1,1,4,1,4,1,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 02:00:00,311.8408077773512,21.5375,0.0,3,0,2024,1,1,4,1,4,2,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 03:00:00,297.14499297297004,20.3625,0.0,3,0,2024,1,1,4,1,4,3,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 04:00:00,303.25371913153583,20.4125,0.0,3,0,2024,1,1,4,1,4,4,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 05:00:00,288.1926232014219,20.025,0.0,3,0,2024,1,1,4,1,4,5,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 06:00:00,281.0062514008104,18.65,0.0,3,0,2024,1,1,4,1,4,6,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 07:00:00,310.84342462004435,17.75,0.0,3,0,2024,1,1,4,1,4,7,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 08:00:00,300.11511561262955,17.75,0.0,3,0,2024,1,1,4,1,4,8,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 09:00:00,304.6005771744455,20.2875,0.0,3,0,2024,1,1,4,1,4,9,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 10:00:00,302.8034054762343,25.1125,0.0,3,0,2024,1,1,4,1,4,10,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 11:00:00,314.51646754612443,28.7125,0.0,3,0,2024,1,1,4,1,4,11,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 12:00:00,308.866891853824,31.75,0.0,3,0,2024,1,1,4,1,4,12,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 13:00:00,319.17791767956186,33.5125,0.0,3,0,2024,1,1,4,1,4,13,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 14:00:00,318.7306221770988,34.9125,0.0,3,0,2024,1,1,4,1,4,14,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 15:00:00,311.8179395500373,35.5875,0.0,3,0,2024,1,1,4,1,4,15,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 16:00:00,328.1249501998795,35.5,0.0,3,0,2024,1,1,4,1,4,16,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 17:00:00,327.1055756110959,35.125,0.0,3,0,2024,1,1,4,1,4,17,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 18:00:00,323.5952226720322,33.6375,0.0,3,0,2024,1,1,4,1,4,18,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 19:00:00,350.0720870768388,29.75,0.0,3,0,2024,1,1,4,1,4,19,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 20:00:00,360.07051173983825,26.75,0.0,3,0,2024,1,1,4,1,4,20,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 21:00:00,358.5745929993342,25.3,0.0,3,0,2024,1,1,4,1,4,21,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 22:00:00,364.0268840580645,24.125,0.0,3,0,2024,1,1,4,1,4,22,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-04 23:00:00,356.1364551531911,23.3375,0.0,3,0,2024,1,1,4,1,4,23,2024-01-04,0,0,0,0,0,2,Jeudi,Janvier,Bas
2024-01-05 00:00:00,333.06703721193423,22.4125,0.0,4,0,2024,1,1,5,1,5,0,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 01:00:00,349.8277647868223,22.3625,0.0,4,0,2024,1,1,5,1,5,1,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 02:00:00,323.9189723222393,21.675,0.0,4,0,2024,1,1,5,1,5,2,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 03:00:00,324.5559634411411,20.325,0.0,4,0,2024,1,1,5,1,5,3,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 04:00:00,308.3288765567258,20.775,0.0,4,0,2024,1,1,5,1,5,4,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 05:00:00,287.48636331075863,19.975,0.0,4,0,2024,1,1,5,1,5,5,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 06:00:00,305.7773351208396,18.5375,0.0,4,0,2024,1,1,5,1,5,6,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 07:00:00,317.8524441793399,17.8375,0.0,4,0,2024,1,1,5,1,5,7,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 08:00:00,313.91125084391894,17.65,0.0,4,0,2024,1,1,5,1,5,8,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 09:00:00,329.35108976734585,20.425,0.0,4,0,2024,1,1,5,1,5,9,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 10:00:00,319.30153447181107,25.5,0.0,4,0,2024,1,1,5,1,5,10,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 11:00:00,333.7723749657334,30.125,0.0,4,0,2024,1,1,5,1,5,11,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 12:00:00,349.78239986020344,32.8875,0.0,4,0,2024,1,1,5,1,5,12,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 13:00:00,343.12331161757726,34.0125,0.0,4,0,2024,1,1,5,1,5,13,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 14:00:00,321.0423991837916,35.1875,0.0,4,0,2024,1,1,5,1,5,14,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 15:00:00,332.53912596403603,36.4125,0.0,4,0,2024,1,1,5,1,5,15,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 16:00:00,352.71717168048565,35.25,0.0,4,0,2024,1,1,5,1,5,16,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 17:00:00,364.6444653467372,34.375,0.0,4,0,2024,1,1,5,1,5,17,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 18:00:00,345.7770153403499,33.1375,0.0,4,0,2024,1,1,5,1,5,18,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 19:00:00,384.0134549881712,29.875,0.0,4,0,2024,1,1,5,1,5,19,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 20:00:00,392.3706423148244,27.425,0.0,4,0,2024,1,1,5,1,5,20,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
2024-01-05 21:00:00,390.81861807368847,25.75,0.0,4,0,2024,1,1,5,1,5,21,2024-01-05,0,0,0,0,0,3,Vendredi,Janvier,Bas
